Problem Size,Synchronisation,Number of Compute Workers,Repeat,Runtime,Reliable Fitness Rate
Large,Synchronous,24,7,2716,X
Large,Synchronous,32,7,2825,X
Large,Synchronous,40,7,2944,X
Large,Synchronous,48,7,3396,X
Large,Synchronous,56,7,3330,X
Large,Synchronous,64,7,3394,X
Large,Synchronous,0,8,14997,X
Large,Synchronous,1,8,19271,X
Large,Synchronous,4,8,6179,X
Large,Synchronous,8,8,3778,X
Large,Synchronous,16,8,2628,X
Large,Synchronous,24,8,2769,X
Large,Synchronous,32,8,2825,X
Large,Synchronous,40,8,2835,X
Large,Synchronous,48,8,2918,X
Large,Synchronous,56,8,3345,X
Large,Synchronous,64,8,3395,X
Large,Synchronous,0,9,14881,X
Large,Synchronous,1,9,18599,X
Large,Synchronous,4,9,6339,X
Large,Synchronous,8,9,3768,X
Large,Synchronous,16,9,2590,X
Large,Synchronous,24,9,2734,X
Large,Synchronous,32,9,2555,X
Large,Synchronous,40,9,2921,X
Large,Synchronous,48,9,3586,X
Large,Synchronous,56,9,3632,X
Large,Synchronous,64,9,3642,X
Large,Synchronous,0,10,15827,X
Large,Synchronous,1,10,17790,X
Large,Synchronous,4,10,6171,X
Large,Synchronous,8,10,3795,X
Large,Synchronous,16,10,2649,X
Large,Synchronous,24,10,2579,X
Large,Synchronous,32,10,2827,X
Large,Synchronous,40,10,2967,X
Large,Synchronous,48,10,3409,X
Large,Synchronous,56,10,3632,X
Large,Synchronous,64,10,2844,X
