Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
0,1,1.650000e+09,-4.207610e+09,-3.578680e+09
0,1,1.660000e+09,-4.206060e+09,-3.571260e+09
0,1,1.670000e+09,-4.204520e+09,-3.564000e+09
0,1,1.680000e+09,-4.203020e+09,-3.556830e+09
0,1,1.690000e+09,-4.201480e+09,-3.549760e+09
0,1,1.700000e+09,-4.200030e+09,-3.542880e+09
0,1,1.710000e+09,-4.198490e+09,-3.535890e+09
0,1,1.720000e+09,-4.197000e+09,-3.529080e+09
0,1,1.730000e+09,-4.195510e+09,-3.522180e+09
0,1,1.740000e+09,-4.194020e+09,-3.515460e+09
0,1,1.750000e+09,-4.192520e+09,-3.508920e+09
0,1,1.760000e+09,-4.190990e+09,-3.502270e+09
0,1,1.770000e+09,-4.189480e+09,-3.495680e+09
0,1,1.780000e+09,-4.187970e+09,-3.489320e+09
0,1,1.790000e+09,-4.186520e+09,-3.482780e+09
0,1,1.800000e+09,-4.184980e+09,-3.475890e+09
0,1,1.810000e+09,-4.183540e+09,-3.469490e+09
0,1,1.820000e+09,-4.182050e+09,-3.463020e+09
0,1,1.830000e+09,-4.180590e+09,-3.456930e+09
0,1,1.840000e+09,-4.179100e+09,-3.450730e+09
0,1,1.850000e+09,-4.177650e+09,-3.444530e+09
0,1,1.860000e+09,-4.176230e+09,-3.438380e+09
0,1,1.870000e+09,-4.174800e+09,-3.431920e+09
0,1,1.880000e+09,-4.173370e+09,-3.425730e+09
0,1,1.890000e+09,-4.171910e+09,-3.419560e+09
0,1,1.900000e+09,-4.170460e+09,-3.413250e+09
0,1,1.910000e+09,-4.169040e+09,-3.406930e+09
0,1,1.920000e+09,-4.167610e+09,-3.401070e+09
0,1,1.930000e+09,-4.166080e+09,-3.395010e+09
0,1,1.940000e+09,-4.164630e+09,-3.389010e+09
0,1,1.950000e+09,-4.163260e+09,-3.382850e+09
0,1,1.960000e+09,-4.161830e+09,-3.377020e+09
0,1,1.970000e+09,-4.160440e+09,-3.371280e+09
0,1,1.980000e+09,-4.159030e+09,-3.365510e+09
0,1,1.990000e+09,-4.157590e+09,-3.359500e+09
0,1,2.000000e+09,-4.156130e+09,-3.353860e+09
0,1,2.010000e+09,-4.154720e+09,-3.348310e+09
0,1,2.020000e+09,-4.153380e+09,-3.342700e+09
0,1,2.030000e+09,-4.151940e+09,-3.337120e+09
0,1,2.040000e+09,-4.150470e+09,-3.331610e+09
0,1,2.050000e+09,-4.149070e+09,-3.326130e+09
0,1,2.060000e+09,-4.147640e+09,-3.320400e+09
0,1,2.070000e+09,-4.146270e+09,-3.314750e+09
0,1,2.080000e+09,-4.144910e+09,-3.309670e+09
0,1,2.090000e+09,-4.143550e+09,-3.304410e+09
0,1,2.100000e+09,-4.142180e+09,-3.298860e+09
0,1,2.110000e+09,-4.140730e+09,-3.293380e+09
0,1,2.120000e+09,-4.139360e+09,-3.288370e+09
0,1,2.130000e+09,-4.137970e+09,-3.283230e+09
0,1,2.140000e+09,-4.136600e+09,-3.277760e+09
0,1,2.150000e+09,-4.135170e+09,-3.272370e+09
0,1,2.160000e+09,-4.133780e+09,-3.267280e+09
0,1,2.170000e+09,-4.132370e+09,-3.261970e+09
0,1,2.180000e+09,-4.130990e+09,-3.256630e+09
0,1,2.190000e+09,-4.129670e+09,-3.251340e+09
0,1,2.200000e+09,-4.128350e+09,-3.246300e+09
0,1,2.210000e+09,-4.126990e+09,-3.241060e+09
0,1,2.220000e+09,-4.125620e+09,-3.236160e+09
0,1,2.230000e+09,-4.124310e+09,-3.231270e+09
0,1,2.240000e+09,-4.122940e+09,-3.226170e+09
0,1,2.250000e+09,-4.121610e+09,-3.221120e+09
0,1,2.260000e+09,-4.120250e+09,-3.216260e+09
0,1,2.270000e+09,-4.118900e+09,-3.211380e+09
0,1,2.280000e+09,-4.117480e+09,-3.206600e+09
0,1,2.290000e+09,-4.116140e+09,-3.201720e+09
0,1,2.300000e+09,-4.114790e+09,-3.196970e+09
0,1,2.310000e+09,-4.113450e+09,-3.192380e+09
0,1,2.320000e+09,-4.112050e+09,-3.187690e+09
0,1,2.330000e+09,-4.110690e+09,-3.183020e+09
0,1,2.340000e+09,-4.109390e+09,-3.178570e+09
0,1,2.350000e+09,-4.108040e+09,-3.173840e+09
0,1,2.360000e+09,-4.106710e+09,-3.169380e+09
0,1,2.370000e+09,-4.105370e+09,-3.164640e+09
0,1,2.380000e+09,-4.104010e+09,-3.160080e+09
