Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
64,3,3750000000,-2.60576e+09,-8.57822e+08
64,3,4000000000,-2.60585e+09,-8.59292e+08
64,3,4250000000,-2.60583e+09,-8.5847e+08
64,3,4500000000,-2.60554e+09,-7.87547e+08
64,3,4750000000,-2.60559e+09,-7.83684e+08
64,3,5000000000,-2.60573e+09,-7.86534e+08
64,4,0,-2.60513e+09,-1.30508e+10
64,4,250000000,-2.6096e+09,-1.18791e+09
64,4,500000000,-2.60661e+09,-8.83166e+08
64,4,750000000,-2.60595e+09,-8.69062e+08
64,4,1000000000,-2.6059e+09,-8.63193e+08
64,4,1250000000,-2.60597e+09,-8.65649e+08
64,4,1500000000,-2.60586e+09,-8.66588e+08
64,4,1750000000,-2.60598e+09,-8.67708e+08
64,4,2000000000,-2.60597e+09,-8.63477e+08
64,4,2250000000,-2.606e+09,-8.67155e+08
64,4,2500000000,-2.60598e+09,-8.674e+08
64,4,2750000000,-2.60589e+09,-8.64505e+08
64,4,3000000000,-2.60587e+09,-8.67082e+08
64,4,3250000000,-2.60586e+09,-8.64335e+08
64,4,3500000000,-2.60592e+09,-8.66356e+08
64,4,3750000000,-2.60594e+09,-8.68613e+08
64,4,4000000000,-2.6059e+09,-8.64643e+08
64,4,4250000000,-2.60599e+09,-8.65078e+08
64,4,4500000000,-2.60551e+09,-7.82844e+08
64,4,4750000000,-2.60558e+09,-7.79368e+08
64,4,5000000000,-2.60556e+09,-7.81522e+08
64,5,0,-2.60513e+09,-1.30508e+10
64,5,250000000,-2.60785e+09,-1.00862e+09
64,5,500000000,-2.60595e+09,-8.57502e+08
64,5,750000000,-2.60581e+09,-8.47131e+08
64,5,1000000000,-2.60577e+09,-8.49608e+08
64,5,1250000000,-2.60584e+09,-8.52788e+08
64,5,1500000000,-2.60575e+09,-8.49017e+08
64,5,1750000000,-2.6058e+09,-8.46301e+08
64,5,2000000000,-2.60581e+09,-8.48626e+08
64,5,2250000000,-2.60567e+09,-8.50697e+08
64,5,2500000000,-2.60585e+09,-8.48139e+08
64,5,2750000000,-2.60577e+09,-8.48745e+08
64,5,3000000000,-2.6057e+09,-8.4923e+08
64,5,3250000000,-2.60579e+09,-8.46481e+08
64,5,3500000000,-2.60574e+09,-8.49004e+08
64,5,3750000000,-2.6058e+09,-8.47813e+08
64,5,4000000000,-2.6058e+09,-8.47198e+08
64,5,4250000000,-2.60576e+09,-8.49431e+08
64,5,4500000000,-2.60549e+09,-7.78644e+08
64,5,4750000000,-2.60562e+09,-7.76305e+08
64,5,5000000000,-2.60564e+09,-7.77997e+08
64,6,0,-2.60513e+09,-1.30508e+10
64,6,250000000,-2.60938e+09,-1.17488e+09
64,6,500000000,-2.60645e+09,-8.93957e+08
64,6,750000000,-2.60606e+09,-8.66911e+08
64,6,1000000000,-2.60595e+09,-8.65881e+08
64,6,1250000000,-2.60596e+09,-8.65014e+08
64,6,1500000000,-2.60608e+09,-8.65037e+08
64,6,1750000000,-2.60598e+09,-8.64539e+08
64,6,2000000000,-2.60584e+09,-8.64769e+08
64,6,2250000000,-2.60583e+09,-8.66649e+08
64,6,2500000000,-2.60606e+09,-8.6434e+08
64,6,2750000000,-2.60596e+09,-8.65761e+08
64,6,3000000000,-2.60583e+09,-8.6436e+08
64,6,3250000000,-2.60596e+09,-8.6435e+08
64,6,3500000000,-2.60593e+09,-8.64749e+08
64,6,3750000000,-2.60592e+09,-8.63693e+08
64,6,4000000000,-2.60591e+09,-8.654e+08
64,6,4250000000,-2.6059e+09,-8.64581e+08
64,6,4500000000,-2.60556e+09,-7.78761e+08
64,6,4750000000,-2.60556e+09,-7.79572e+08
64,6,5000000000,-2.60558e+09,-7.79708e+08
64,7,0,-2.60513e+09,-1.30508e+10
64,7,250000000,-2.60847e+09,-1.06994e+09
64,7,500000000,-2.60604e+09,-8.69696e+08
64,7,750000000,-2.60579e+09,-8.58833e+08
64,7,1000000000,-2.60591e+09,-8.57915e+08
64,7,1250000000,-2.60606e+09,-8.58204e+08
64,7,1500000000,-2.60577e+09,-8.60421e+08
64,7,1750000000,-2.60598e+09,-8.60912e+08
64,7,2000000000,-2.60596e+09,-8.59866e+08
64,7,2250000000,-2.60587e+09,-8.60827e+08
64,7,2500000000,-2.60572e+09,-8.60928e+08
64,7,2750000000,-2.60586e+09,-8.58661e+08
64,7,3000000000,-2.60575e+09,-8.60975e+08
64,7,3250000000,-2.60584e+09,-8.59398e+08
64,7,3500000000,-2.60579e+09,-8.6174e+08
64,7,3750000000,-2.60589e+09,-8.59642e+08
64,7,4000000000,-2.60572e+09,-8.58982e+08
64,7,4250000000,-2.60573e+09,-8.56728e+08
64,7,4500000000,-2.60575e+09,-7.89173e+08
64,7,4750000000,-2.6056e+09,-7.8531e+08
64,7,5000000000,-2.60564e+09,-7.87783e+08
64,8,0,-2.60513e+09,-1.30508e+10
64,8,250000000,-2.60809e+09,-1.0333e+09
64,8,500000000,-2.60602e+09,-8.58212e+08
64,8,750000000,-2.60583e+09,-8.59035e+08
64,8,1000000000,-2.60576e+09,-8.55263e+08
64,8,1250000000,-2.60589e+09,-8.57706e+08
64,8,1500000000,-2.60586e+09,-8.58413e+08
64,8,1750000000,-2.60581e+09,-8.5822e+08
64,8,2000000000,-2.60568e+09,-8.5592e+08
64,8,2250000000,-2.60573e+09,-8.56202e+08
64,8,2500000000,-2.60583e+09,-8.56414e+08
64,8,2750000000,-2.60579e+09,-8.53931e+08
64,8,3000000000,-2.60595e+09,-8.5906e+08
64,8,3250000000,-2.60576e+09,-8.55444e+08
64,8,3500000000,-2.60576e+09,-8.57901e+08
64,8,3750000000,-2.60577e+09,-8.54275e+08
64,8,4000000000,-2.60572e+09,-8.56569e+08
64,8,4250000000,-2.60575e+09,-8.53576e+08
64,8,4500000000,-2.6055e+09,-7.83495e+08
64,8,4750000000,-2.6056e+09,-7.84854e+08
64,8,5000000000,-2.60562e+09,-7.8221e+08
64,9,0,-2.60513e+09,-1.30508e+10
64,9,250000000,-2.60806e+09,-1.01817e+09
64,9,500000000,-2.60589e+09,-8.55243e+08
64,9,750000000,-2.6058e+09,-8.43234e+08
64,9,1000000000,-2.6058e+09,-8.41232e+08
64,9,1250000000,-2.60575e+09,-8.4405e+08
64,9,1500000000,-2.60575e+09,-8.41461e+08
64,9,1750000000,-2.60572e+09,-8.43821e+08
64,9,2000000000,-2.60561e+09,-8.43509e+08
64,9,2250000000,-2.60575e+09,-8.44237e+08
64,9,2500000000,-2.60574e+09,-8.44967e+08
64,9,2750000000,-2.60586e+09,-8.43649e+08
64,9,3000000000,-2.60568e+09,-8.42925e+08
64,9,3250000000,-2.60578e+09,-8.43102e+08
64,9,3500000000,-2.60581e+09,-8.42522e+08
64,9,3750000000,-2.60577e+09,-8.44587e+08
64,9,4000000000,-2.60559e+09,-8.458e+08
64,9,4250000000,-2.60576e+09,-8.41934e+08
64,9,4500000000,-2.6054e+09,-7.73235e+08
64,9,4750000000,-2.60556e+09,-7.76779e+08
64,9,5000000000,-2.60559e+09,-7.76511e+08
64,10,0,-2.60513e+09,-1.30508e+10
64,10,250000000,-2.60771e+09,-1.00529e+09
64,10,500000000,-2.60573e+09,-8.24892e+08
64,10,750000000,-2.60554e+09,-8.36579e+08
64,10,1000000000,-2.60563e+09,-8.35076e+08
64,10,1250000000,-2.60577e+09,-8.39824e+08
64,10,1500000000,-2.60576e+09,-8.39177e+08
64,10,1750000000,-2.60567e+09,-8.41101e+08
64,10,2000000000,-2.6058e+09,-8.38979e+08
64,10,2250000000,-2.60575e+09,-8.37509e+08
64,10,2500000000,-2.60568e+09,-8.43077e+08
64,10,2750000000,-2.60584e+09,-8.3946e+08
64,10,3000000000,-2.60565e+09,-8.39429e+08
64,10,3250000000,-2.60567e+09,-8.38848e+08
64,10,3500000000,-2.60579e+09,-8.38739e+08
64,10,3750000000,-2.6057e+09,-8.39555e+08
64,10,4000000000,-2.60566e+09,-8.38895e+08
64,10,4250000000,-2.60567e+09,-8.4029e+08
64,10,4500000000,-2.60555e+09,-7.72088e+08
64,10,4750000000,-2.6056e+09,-7.70472e+08
64,10,5000000000,-2.6056e+09,-7.70123e+08
